iter	MultiClass
0	1.036594676
1	0.9890948631
2	0.9484499276
3	0.9153343443
4	0.8854258545
5	0.8612517814
6	0.8388068372
7	0.8184338785
8	0.8024571208
9	0.7879969696
10	0.7745044592
11	0.7628611171
12	0.7516027384
13	0.7401009283
14	0.7306376251
15	0.7240628698
16	0.7159645314
17	0.7095163325
18	0.7022617723
19	0.6957732133
20	0.6920002161
21	0.6868507293
22	0.6824843679
23	0.6778172333
24	0.6741582462
25	0.6710040461
26	0.6676173378
27	0.664096088
28	0.6606762788
29	0.6587804183
30	0.6560362391
31	0.6537073168
32	0.6513203789
33	0.6487786566
34	0.6465020742
35	0.6440740261
36	0.6420495215
37	0.6395236409
38	0.637205911
39	0.6352834848
40	0.6333830623
41	0.6317221298
42	0.629927094
43	0.6287754269
44	0.6272939841
45	0.6258491279
46	0.6251435035
47	0.6243058483
48	0.6229666553
49	0.6213623074
50	0.6199976866
51	0.6186200483
52	0.6172432738
53	0.615860649
54	0.6143365674
55	0.6131662674
56	0.6123075211
57	0.6112856986
58	0.60988426
59	0.608866599
60	0.6079319794
61	0.6069693696
62	0.6062960502
63	0.6057542384
64	0.6045859155
65	0.6038533456
66	0.6027243744
67	0.6021721097
68	0.6014217276
69	0.6003217305
70	0.5995398767
71	0.5989858811
72	0.5980518992
73	0.5971366762
74	0.5963347039
75	0.5958664557
76	0.5952897044
77	0.5945432419
78	0.5939907695
79	0.5933419261
80	0.592739854
81	0.5921561377
82	0.5915058721
83	0.5905412942
84	0.5900147389
85	0.5893211867
86	0.5886990894
87	0.5877891405
88	0.5870796358
89	0.5865858658
90	0.5859522826
91	0.5853309833
92	0.5848169855
93	0.5842062688
94	0.5835591315
95	0.5830582015
96	0.5825207558
97	0.5819072168
98	0.5814185829
99	0.5804815552
100	0.5801022658
101	0.5796204834
102	0.5792234576
103	0.5786580117
104	0.5779546249
105	0.5773447618
106	0.5767219866
107	0.5761343293
108	0.5754269081
109	0.574776015
110	0.5743503094
111	0.5733604071
112	0.5728590371
113	0.5723332214
114	0.5718770753
115	0.570889483
116	0.5703272437
117	0.5699587781
118	0.5697037247
119	0.5694587755
120	0.5686768349
121	0.5681827128
122	0.5676218407
123	0.5672136337
124	0.566740036
125	0.566121075
126	0.5655951982
127	0.5650318105
128	0.5643812976
129	0.5636973162
130	0.5630604587
131	0.562440329
132	0.5619951844
133	0.5607806651
134	0.5601175389
135	0.5598628786
136	0.5592379839
137	0.5583795177
138	0.5579330938
139	0.5572611326
140	0.556763296
141	0.5561799002
142	0.5556907267
143	0.5551340337
144	0.5545547949
145	0.5539909335
146	0.5537086564
147	0.5532210489
148	0.5527334915
149	0.5521157821
150	0.5517149728
151	0.5512649121
152	0.5505879899
153	0.5500764441
154	0.5492615118
155	0.5486414214
156	0.5483040313
157	0.5479285024
158	0.5475206758
159	0.5472767762
160	0.5470760744
161	0.5466905756
162	0.5464177647
163	0.5462221315
164	0.5454431252
165	0.5450902723
166	0.54451513
167	0.5439527403
168	0.5432213682
169	0.542913429
170	0.5425101685
171	0.5417103448
172	0.5412437827
173	0.5406919155
174	0.5399746409
175	0.5396586072
176	0.5393179393
177	0.5385575949
178	0.5381683094
179	0.537805936
180	0.5371611573
181	0.5367672922
182	0.5363993135
183	0.5360376306
184	0.535730881
185	0.535388281
186	0.5350691746
187	0.5344065595
188	0.5340609593
189	0.5339151665
190	0.5334985302
191	0.5328016043
192	0.5322882714
193	0.5319813717
194	0.5316085512
195	0.5313824758
196	0.5309633487
197	0.5303251524
198	0.5298209838
199	0.5296758608
200	0.529167332
201	0.5287311492
202	0.5282643657
203	0.5273798273
204	0.5271521816
205	0.5267263977
206	0.52618167
207	0.5256569403
208	0.5254303452
209	0.5249749017
210	0.5246663211
211	0.5243511539
212	0.5236804009
213	0.5233283278
214	0.5229536159
215	0.5225790844
216	0.5221313808
217	0.5217156518
218	0.5215202042
219	0.5211437724
220	0.5207810301
221	0.5203113702
222	0.519717812
223	0.5193539128
224	0.5184624652
225	0.5179788358
226	0.5176816413
227	0.5172137108
228	0.5167005982
229	0.5162039231
230	0.5157274119
231	0.5152906822
232	0.5144743525
233	0.5142089117
234	0.5135960193
235	0.5133820648
236	0.5131423809
237	0.5128667272
238	0.5124215887
239	0.5122662722
240	0.5120538909
241	0.5116458333
242	0.5114282542
243	0.5109522476
244	0.5105265185
245	0.510327711
246	0.5101460213
247	0.5096855473
248	0.509100983
249	0.5087825924
250	0.5083673219
251	0.5081883327
252	0.5078856332
253	0.5075380716
254	0.5072042389
255	0.5066600165
256	0.5062931087
257	0.5058288502
258	0.5055972647
259	0.5054831016
260	0.5050580069
261	0.5046571604
262	0.5042491141
263	0.503950982
264	0.503767902
265	0.5031334176
266	0.502808844
267	0.5023085431
268	0.501860377
269	0.5013006146
270	0.5010693066
271	0.5007619277
272	0.499988361
273	0.4996105116
274	0.4992141675
275	0.4988185933
276	0.4984956017
277	0.4981428582
278	0.4974277881
279	0.497082839
280	0.4965849045
281	0.4962135739
282	0.4958026398
283	0.4954232343
284	0.4949595007
285	0.4946435627
286	0.4943185499
287	0.4938917167
288	0.4937439112
289	0.49362762
290	0.4929081279
291	0.4924889009
292	0.4921897501
293	0.4917492529
294	0.4911087807
295	0.490759168
296	0.4904932197
297	0.4899934608
298	0.4897095578
299	0.4894544353
300	0.488979345
301	0.4887578912
302	0.4882757723
303	0.4878654049
304	0.4874954115
305	0.4869863126
306	0.4867230205
307	0.486235743
308	0.4859920681
309	0.4858284084
310	0.4856842073
311	0.4852846907
312	0.4849141544
313	0.4845134301
314	0.4840693093
315	0.4838294769
316	0.4835111093
317	0.4831914726
318	0.4828999453
319	0.4826826074
320	0.4823949171
321	0.4819362253
322	0.4817095879
323	0.4813752897
324	0.4809340747
325	0.4808132758
326	0.4805353353
327	0.4798910536
328	0.4792856112
329	0.4789338781
330	0.4784579533
331	0.4779755307
332	0.4775222179
333	0.4767003704
334	0.4765519229
335	0.4758969638
336	0.4754735068
337	0.4749930301
338	0.4746492653
339	0.4741185765
340	0.4734306069
341	0.4730461041
342	0.4723251677
343	0.4720674043
344	0.471571347
345	0.4710891481
346	0.4708321147
347	0.4701711091
348	0.4698300141
349	0.4696057897
350	0.4692943434
351	0.4688018923
352	0.4685891819
353	0.4681797047
354	0.4678001639
355	0.4674412712
356	0.4671338654
357	0.4670166395
358	0.4667919225
359	0.4664607305
360	0.4659843752
361	0.4654299154
362	0.4651174468
363	0.4649192731
364	0.4647860978
365	0.4643690489
366	0.4641313191
367	0.4635520972
368	0.4629461877
369	0.4625472582
370	0.4622734179
371	0.4617883833
372	0.4612794338
373	0.4610443814
374	0.4608157988
375	0.4605705079
376	0.4601451874
377	0.4598819004
378	0.4591961173
379	0.458643275
380	0.4582794827
381	0.4579688146
382	0.4576979989
383	0.4572551691
384	0.4566894902
385	0.456143232
386	0.4556946883
387	0.4554495805
388	0.4550876239
389	0.4546318661
390	0.4540567635
391	0.453802751
392	0.4535961022
393	0.453114384
394	0.4528290179
395	0.452644812
396	0.4524286439
397	0.4518647245
398	0.4514483582
399	0.4512026364
400	0.450890101
401	0.4504897659
402	0.4499414936
403	0.4495325382
404	0.4490448685
405	0.448629357
406	0.4484305121
407	0.4480747073
408	0.4478312875
409	0.4472063622
410	0.4469047466
411	0.4466289118
412	0.4464257469
413	0.4458921593
414	0.4454182246
415	0.4451655767
416	0.4448708415
417	0.4447068034
418	0.4443428848
419	0.4440637843
420	0.4437289847
421	0.4435823269
422	0.4433103401
423	0.4430714873
424	0.4425416868
425	0.4423627575
426	0.442003201
427	0.4417339014
428	0.4415199636
429	0.4414334377
430	0.441068033
431	0.4406256681
432	0.4403624954
433	0.4400746334
434	0.4396724165
435	0.4393282966
436	0.438891021
437	0.4385504933
438	0.4382773217
439	0.4379665755
440	0.4376935088
441	0.4371651608
442	0.4368322675
443	0.4366939972
444	0.4361765939
445	0.435658143
446	0.4350816303
447	0.4346104404
448	0.4342108286
449	0.4339215488
450	0.4338491738
451	0.433512897
452	0.4333124741
453	0.4329326949
454	0.4324903911
455	0.4321717097
456	0.4317257538
457	0.4312949545
458	0.4311034109
459	0.4308739135
460	0.4304686767
461	0.4298460244
462	0.4293652339
463	0.4291859219
464	0.4287954139
465	0.4285403888
466	0.4282823924
467	0.4280820937
468	0.4276013066
